nba_player_list_2
Name,Points,Asist,Board,Salary
Deandre Ayton,16.3,10.3,1.8,9562920
Delon Wright,8.7,3.5,3.3,9473684
Jerami Grant,13.6,5.2,1,9346153
Al-Farouq Aminu,9.4,7.5,1.3,9258000
George Hill,7.6,2.5,2.3,9133907
Kyle Anderson,8,5.8,3,9073050
Fred VanVleet,11,2.6,4.8,9000000
Ja Morant,NAN,NAN,NAN,8730240
C.J. Miles,6.4,1.8,0.7,8730158
Lonzo Ball,9.9,5.3,5.4,8719320
E'Twaun Moore,11.9,2.4,1.9,8664928
Marvin Bagley III,14.9,7.6,1,8556120
Bogdan Bogdanovi?,14.1,3.5,3.8,8529386
Tyus Jones,6.9,2,4.8,8408000
P.J. Tucker,7.3,5.8,1.2,8349039
Cristiano Fel?cio,4,3.6,0.6,8156500
Ben Simmons,16.9,8.8,7.7,8113930
Kentavious Caldwell-Pope,11.4,2.9,1.3,8089282
Maxi Kleber,6.8,4.6,1,8000000
Lou Williams,20,3,5.4,8000000
Elfrid Payton,10.6,5.2,7.6,8000000
Thomas Bryant,10.5,6.3,1.3,7936508
RJ Barrett,NAN,NAN,NAN,7839960
Jayson Tatum,15.7,6,2.1,7830000
Jae Crowder,11.9,4.8,1.7,7815533
Wayne Ellington,10.3,2,1.4,7804878
Luka Don?i?,21.2,7.8,6,7683360
Joe Harris,13.7,3.8,2.4,7670000
Seth Curry,7.9,1.6,0.9,7441860
Doug McDermott,7.3,1.4,0.9,7333334
Langston Galloway,8.4,2.1,1.1,7333333
Derrick Rose,18,2.7,4.3,7317073
Brandon Ingram,18.3,5.1,3,7265485
D.J. Augustin,11.7,2.5,5.3,7250000
Darius Miller,8.2,1.9,2.1,7250000
De'Andre Hunter,NAN,NAN,NAN,7068360
Josh Jackson,11.5,4.4,2.3,7059480
DeMarre Carroll,11.1,5.2,1.3,7000000
D?vis Bert?ns,8,3.5,1.3,7000000
Ersan ?lyasova,6.8,4.5,0.8,7000000
Jaren Jackson Jr.,13.8,4.7,1.1,6927480
Nemanja Bjelica,9.6,5.8,1.9,6825000
Jaylen Brown,13,4.2,1.4,6534829
Jabari Parker,14.5,6.6,2.4,6500000
Ivica Zubac,8.9,6.1,1.1,6481482
Joakim Noah,7.1,5.7,2.1,6431666
Darius Garland,NAN,NAN,NAN,6400920
De'Aaron Fox,17.3,3.8,7.3,6392760
Trae Young,19.1,3.7,8.1,6273000
Montrezl Harrell,16.6,6.5,2,6000000
Ish Smith,8.9,2.6,3.6,5853659
Marco Belinelli,10.5,2.5,1.7,5846154
Jarrett Culver,NAN,NAN,NAN,5813640
Jonathan Isaac,9.6,5.5,1.1,5806440
Rodney Hood,11.2,2.2,1.8,5718000
Mohamed Bamba,6.2,5,0.8,5697600
Dwight Howard,12.8,9.2,0.4,5603850
Timofey Mozgov,6.8,4.9,0.6,5573333
Trey Lyles,8.5,3.8,1.4,5500000
Deron Williams,16.3,3.1,8.1,5474787
Aron Baynes,5.6,4.7,1.1,5453280
Kris Dunn,11.3,4.1,6,5348007
Josh Smith,14.5,7.4,3.1,5331729
Coby White,NAN,NAN,NAN,5307120
Lauri Markkanen,18.7,9,1.4,5300400
Ryan Anderson,2.5,2.2,0.8,5214583
Wendell Carter Jr.,10.3,7,1.8,5201400
Pau Gasol,3.9,4.6,1.7,5100000
Daniel Theis,5.7,3.4,1,5000000
Luol Deng,7.1,3.3,0.8,4990000
Jaxson Hayes,NAN,NAN,NAN,4862040
Buddy Hield,20.7,5,2.5,4861208
Frank Ntilikina,5.7,2,2.8,4855800
Ed Davis,5.8,8.6,0.8,4767000
Richaun Holmes,8.2,4.7,0.9,4767000
Frank Kaminsky,8.6,3.5,1.3,4767000
Mike Scott,5.8,3.5,0.8,4767000
Avery Bradley,9.9,2.8,2.4,4767000
Robin Lopez,9.5,3.9,1.2,4767000
JaMychal Green,9.4,6.3,0.8,4767000
Garrett Temple,7.8,2.9,1.4,4767000
Enes Kanter,13.7,9.8,1.7,4767000
Collin Sexton,16.7,2.9,3,4764960
Rodney McGruder,7.6,3.6,1.7,4629630
Kevon Looney,6.3,5.2,1.5,4629630
Rui Hachimura,NAN,NAN,NAN,4469160
Dennis Smith Jr.,13.6,2.9,4.8,4463640
Jamal Murray,18.2,4.2,4.8,4444746
Kevin Knox,12.8,4.5,1.1,4380120
Cam Reddish,NAN,NAN,NAN,4245720
Zach Collins,6.6,4.2,0.9,4240200
Mikal Bridges,8.3,3.2,2.1,4161000
Alex Len,11.1,5.5,1.1,4160000
Cameron Johnson,NAN,NAN,NAN,4033440
Malik Monk,8.9,1.9,1.6,4028400
Dorian Finney-Smith,7.5,4.8,1.2,4000000
JaVale McGee,12,7.5,0.7,4000000
Patrick McCaw,2.6,1.7,1,4000000
Reggie Bullock,11.3,2.7,2,4000000
Shai Gilgeous-Alexander,10.8,2.8,3.3,3952920
Nicol? Melli,NAN,NAN,NAN,3902439
PJ Washington,NAN,NAN,NAN,3831840
